employee_id,age,gender,department,job_role,education_level,tenure_years,monthly_income,job_satisfaction,work_life_balance,overtime_hours,performance_rating,attrition
EMP0000,53,Other,R&D,Product Developer,Masters,15,118443,3,1,34,5,True
EMP0001,31,Female,IT,Software Engineer,Masters,3,88461,3,5,38,1,False
EMP0002,26,Male,Operations,Logistics Manager,PhD,1,76469,4,1,12,3,False
EMP0003,59,Other,Marketing,Marketing Specialist,Masters,13,86550,5,1,40,5,True
EMP0004,55,Other,R&D,Research Scientist,PhD,33,73211,5,2,0,5,False
EMP0005,52,Other,R&D,Research Scientist,Bachelors,6,125714,2,3,2,1,True
EMP0006,37,Female,Operations,Logistics Manager,PhD,13,119992,1,4,7,1,True
EMP0007,58,Female,Sales,Sales Manager,Masters,34,107782,4,1,52,1,True
EMP0008,31,Male,Sales,Sales Manager,Masters,2,84838,3,5,65,4,True
EMP0009,31,Other,HR,HR Generalist,Masters,5,135226,2,5,30,1,True
EMP0010,38,Other,Finance,Accountant,High School,2,29367,4,4,16,5,False
EMP0011,37,Other,R&D,Product Developer,Bachelors,6,69418,1,5,47,3,False
EMP0012,40,Other,Finance,Accountant,Bachelors,13,145386,5,1,33,1,True
EMP0013,43,Male,Finance,Accountant,High School,6,119735,4,5,35,2,False
EMP0014,44,Male,Sales,Sales Executive,High School,4,49256,1,3,31,2,True
EMP0015,25,Female,Sales,Sales Executive,Masters,4,122326,4,5,20,1,False
EMP0016,51,Other,HR,HR Manager,High School,7,138008,2,5,0,3,True
EMP0017,58,Other,Marketing,Content Creator,Bachelors,8,28883,4,3,21,3,False
EMP0018,41,Male,IT,Data Scientist,PhD,3,62679,5,5,21,4,False
EMP0019,56,Male,Sales,Sales Manager,Bachelors,36,117736,4,3,2,2,False
EMP0020,55,Male,IT,Software Engineer,Masters,6,209245,4,3,33,5,False
EMP0021,50,Male,IT,IT Manager,Bachelors,18,125973,4,4,21,5,False
EMP0022,49,Female,Operations,Operations Associate,PhD,21,50209,3,5,40,4,False
EMP0023,25,Female,IT,IT Manager,Bachelors,3,129458,2,1,19,1,False
EMP0024,45,Male,R&D,Research Scientist,Masters,0,92271,3,4,7,2,False
EMP0025,48,Female,HR,HR Generalist,Bachelors,0,105385,4,4,33,2,True
EMP0026,33,Female,Operations,Operations Associate,Masters,11,106973,2,5,29,4,False
EMP0027,36,Female,Finance,Financial Analyst,Masters,11,145946,2,5,30,5,True
EMP0028,57,Other,HR,HR Generalist,Bachelors,23,130442,1,3,6,4,True
EMP0029,37,Male,IT,Software Engineer,Masters,11,127608,1,1,45,5,True
EMP0030,38,Other,R&D,Research Scientist,High School,10,133501,5,3,34,1,False
EMP0031,53,Female,Marketing,Marketing Specialist,High School,27,90474,2,4,7,1,False
EMP0032,43,Other,Finance,Accountant,PhD,3,141530,2,4,12,4,True
EMP0033,60,Other,R&D,Product Developer,Bachelors,34,48033,4,3,31,5,False
EMP0034,51,Female,Finance,Financial Analyst,PhD,10,79388,1,1,15,3,True
EMP0035,34,Other,Marketing,Content Creator,Bachelors,9,74383,1,4,36,2,True
EMP0036,47,Female,Operations,Logistics Manager,Masters,19,139056,3,4,69,4,False
EMP0037,26,Other,R&D,Product Developer,PhD,1,65644,4,2,19,5,False
EMP0038,58,Female,HR,HR Manager,High School,21,96235,1,5,7,5,False
EMP0039,25,Female,Finance,Accountant,PhD,4,56538,5,4,10,2,False
EMP0040,28,Female,R&D,Product Developer,High School,8,115903,1,1,23,3,True
EMP0041,55,Other,Marketing,Marketing Specialist,Masters,8,64283,2,1,17,5,True
EMP0042,58,Other,IT,DevOps Engineer,High School,9,199122,2,4,5,1,True
EMP0043,39,Male,Operations,Operations Associate,High School,2,85983,5,4,2,2,False
EMP0044,57,Male,Marketing,Marketing Specialist,Bachelors,37,74848,4,4,33,2,True
EMP0045,57,Other,Finance,Accountant,PhD,16,148516,3,5,23,4,False
EMP0046,46,Other,HR,HR Generalist,Bachelors,20,134750,2,2,19,3,True
EMP0047,48,Female,Marketing,Content Creator,PhD,17,122851,4,3,50,4,True
EMP0048,51,Other,IT,IT Manager,PhD,28,174373,2,4,5,5,True
EMP0049,45,Other,Marketing,Content Creator,High School,14,52138,4,4,47,2,False
EMP0050,50,Male,Sales,Sales Manager,Bachelors,13,72549,5,2,10,4,False
EMP0051,44,Male,HR,HR Manager,PhD,15,57040,1,4,21,4,False
EMP0052,45,Other,Operations,Operations Associate,Bachelors,17,56795,1,4,12,1,True
EMP0053,40,Male,IT,DevOps Engineer,High School,10,148019,5,1,69,5,False
EMP0054,29,Male,HR,HR Generalist,Bachelors,9,85501,3,4,48,2,True
EMP0055,57,Male,HR,HR Manager,PhD,33,45764,1,1,0,5,True
EMP0056,55,Other,Sales,Sales Manager,Masters,7,116615,2,2,40,3,True
EMP0057,40,Other,IT,IT Manager,Masters,12,119316,5,5,10,1,False
EMP0058,30,Male,IT,Data Scientist,High School,0,176325,5,4,51,2,False
EMP0059,46,Female,HR,HR Generalist,PhD,12,102618,3,5,38,3,False
EMP0060,28,Other,HR,HR Manager,High School,4,39913,2,5,76,3,True
EMP0061,28,Other,Finance,Accountant,Bachelors,8,63885,4,1,37,5,True
EMP0062,55,Male,Operations,Logistics Manager,Bachelors,26,54501,4,3,35,4,False
EMP0063,58,Female,IT,Software Engineer,Bachelors,27,73969,3,2,26,5,True
EMP0064,22,Female,R&D,Research Scientist,PhD,2,141048,4,4,50,2,False
EMP0065,34,Other,R&D,Research Scientist,Bachelors,12,101085,3,3,24,3,False
EMP0066,26,Other,Sales,Sales Executive,Masters,3,111513,4,5,30,2,False
EMP0067,54,Other,Finance,Accountant,High School,26,131303,1,5,22,2,False
EMP0068,55,Other,Operations,Operations Associate,Bachelors,27,25137,1,2,17,3,True
EMP0069,44,Female,R&D,Research Scientist,High School,14,123208,4,1,55,5,True
EMP0070,48,Other,R&D,Research Scientist,Masters,26,64227,4,3,38,4,False
EMP0071,43,Other,Sales,Sales Executive,PhD,18,108085,4,1,33,1,False
EMP0072,44,Male,Marketing,Content Creator,Bachelors,7,143385,3,4,50,4,True
EMP0073,34,Other,IT,IT Manager,PhD,14,212655,4,3,38,4,False
EMP0074,47,Female,Finance,Accountant,Masters,25,83690,1,5,47,5,True
EMP0075,42,Male,IT,IT Manager,PhD,15,169094,2,3,72,3,True
EMP0076,32,Male,Sales,Sales Executive,PhD,8,88013,3,3,20,3,False
EMP0077,49,Female,R&D,Product Developer,Masters,29,116650,1,3,15,1,False
EMP0078,29,Other,Marketing,Marketing Specialist,Bachelors,0,138693,3,1,22,2,False
EMP0079,53,Female,HR,HR Generalist,High School,2,73213,4,1,27,5,False
EMP0080,32,Other,Finance,Financial Analyst,High School,6,76763,4,5,18,4,False
EMP0081,51,Female,Operations,Logistics Manager,Bachelors,5,40042,3,2,11,5,False
EMP0082,25,Male,HR,HR Generalist,High School,3,67920,3,2,4,1,True
EMP0083,58,Male,Sales,Sales Executive,Bachelors,5,81229,5,3,40,3,False
EMP0084,55,Other,Operations,Logistics Manager,Bachelors,29,69727,2,5,36,2,True
EMP0085,41,Male,R&D,Product Developer,PhD,21,111553,3,3,9,2,False
EMP0086,40,Other,HR,HR Generalist,High School,15,88473,4,4,2,4,False
EMP0087,51,Other,R&D,Research Scientist,PhD,8,36811,3,2,21,4,True
EMP0088,32,Female,Operations,Logistics Manager,Bachelors,4,41061,5,1,28,5,True
EMP0089,53,Male,R&D,Product Developer,High School,12,135902,2,1,52,5,True
EMP0090,30,Female,Operations,Operations Associate,Masters,7,33922,5,3,35,3,False
EMP0091,40,Male,Finance,Accountant,PhD,2,78691,5,5,24,2,False
EMP0092,27,Male,HR,HR Generalist,High School,2,113857,2,3,19,3,True
EMP0093,39,Female,Operations,Logistics Manager,PhD,0,129132,5,2,4,2,False
EMP0094,43,Male,Operations,Operations Associate,High School,10,49632,5,2,28,3,True
EMP0095,54,Female,Finance,Financial Analyst,Bachelors,27,148006,4,5,10,4,False
EMP0096,54,Male,Operations,Operations Associate,PhD,27,68468,3,5,12,3,False
EMP0097,49,Female,Operations,Logistics Manager,High School,19,88562,5,2,19,4,True
EMP0098,30,Other,IT,Data Scientist,Masters,2,49899,2,4,7,5,False
EMP0099,43,Other,HR,HR Manager,PhD,9,126501,3,3,32,3,False
EMP0100,29,Other,Sales,Sales Manager,Bachelors,9,51300,3,2,7,2,False
